2010/11/29,ETom,AnyConnect3.0 Prep,5
2010/11/29,ETom,ISE1.0 Prep,1.5
2010/11/30,ETom,AnyConnect3.0 Prep,5
2010/11/30,ETom,ISE1.0 Prep,3
2010/12/01,ETom,Others,4.5
2010/12/01,ETom,AnyConnect3.0-R2 Prep,1.5
2010/12/01,ETom,WCS-MR17.0 Report,2
2010/12/02,ETom,Meeting,1
2010/12/02,ETom,Others,1.5
2010/12/02,ETom,AnyConnect3.0-R2 Prep,2
2010/12/02,ETom,WCS-MR17.0 Report,3.5
2010/12/03,ETom,AnyConnect3.0-R2 Prep,3.5
2010/12/03,ETom,ISE1.0 Prep,4.5
2010/12/06,ETom,AnyConnect3.0-R2 Prep,3.5
2010/12/06,ETom,ISE1.0 Prep,4.5
2010/12/07,ETom,AnyConnect3.0-R2 Prep,3.5
2010/12/07,ETom,ISE1.0 Prep,4.5
2010/12/08,ETom,AnyConnect3.0-R2 Prep,4
2010/12/08,ETom,WCS-MR17.0 Report,2.5
2010/12/09,ETom,Meeting,1
2010/12/09,ETom,AnyConnect3.0-R2 Prep,2
2010/12/09,ETom,WCS-MR17.0 Report,3.5
2010/12/10,ETom,AnyConnect3.0-R2 Prep,8
2010/12/13,ETom,Meeting,0.5
2010/12/13,ETom,AnyConnect3.0-R2 Prep,3
2010/12/13,ETom,ISE1.0 Prep,5
2010/12/14,ETom,AnyConnect3.0-R2 Regress,3.5
2010/12/14,ETom,ISE1.0 Prep,5
2010/12/15,ETom,AnyConnect3.0-R2 Regress,9
2010/12/16,ETom,Meeting,1
2010/12/16,ETom,AnyConnect3.0-R2 Regress,7.5
2010/12/17,ETom,Meeting,3.5
2010/12/17,ETom,Others,1
2010/12/17,ETom,AnyConnect3.0-R2 Regress,5
2010/12/20,ETom,Meeting,0.5
2010/12/20,ETom,AnyConnect3.0-R2 Regress,8
2010/12/21,ETom,Others,2
2010/12/21,ETom,CiscoMobileiPhone8.1 Setup,7
2010/12/22,ETom,Meeting,1
